col_country,value
ARG,0.00012786267794757112
AUS,4.0055358997668e-05
AUT,5.281180550984059e-06
BEL,7.940884572575328e-06
BGR,4.528587641584739e-05
BRA,8.12933279345549e-05
BRN,1.113228464962157e-05
CAN,9.127699239731176e-06
CHE,8.46342496839944e-06
CHL,0.00036681436387362803
CHN,5.077677910662684e-05
COL,2.1869497936840198e-05
CRI,0.0005207462580057784
CYP,0.0002717979348822166
CZE,1.5484736838226708e-05
DEU,1.381201152283468e-05
DNK,5.881390347744606e-06
ESP,3.496360062117386e-05
EST,5.87937500393446e-05
FIN,2.2831017218888647e-05
FRA,1.5534845822337335e-05
GBR,0.00020192144840763145
GRC,1.0450513282123628e-06
HRV,0.00021916069353953226
HUN,0.0003208828204225776
IDN,4.57059352646343e-05
IND,3.2988514457927535e-05
IRL,5.252400383672681e-06
ISL,7.903338127353621e-06
ISR,0.0001545085492803574
ITA,4.981360535148378e-05
JPN,0.0001063655516385771
KAZ,6.0334070082545805e-06
KHM,2.2825432252109983e-05
KOR,8.798365260303323e-06
LAO,4.222738187752759e-05
LTU,2.2281301398931684e-06
LVA,0.00016304262216778175
MAR,6.77634703734321e-05
MEX,0.00014467701765927572
MLT,1.1132274181648012e-05
MMR,2.28812530591624e-05
NLD,4.3810637289654405e-06
NOR,5.267170153655896e-06
NZL,3.55360201243665e-05
PER,8.219819805880933e-05
PHL,0.00014839267762577614
POL,0.00011572649325090904
PRT,1.1468165521731715e-05
ROU,0.00018185964022089928
ROW,5.472611976643041e-05
RUS,2.8894495559924444e-05
SAU,1.0746956154984878e-05
SGP,1.4555128284558287e-06
SVK,5.996362942160937e-06
SVN,0.00030130322948470673
SWE,0.0006104298594647718
THA,5.97723970812812e-06
TUN,1.2300853856770617e-06
TUR,1.6468244349998537e-05
TWN,1.008638949547431e-05
USA,2.9482194442695076e-05
VNM,5.246900888635817e-06
ZAF,3.364535702336936e-05
