col_country,value
ARG,8.756788491109439e-05
AUS,7.232952523228952e-05
AUT,9.668121340721347e-08
BEL,2.2008363327599784e-05
BGR,5.7108858370120475e-05
BRA,6.391154233198121e-05
BRN,1.3168704664804636e-05
CAN,2.282126878321317e-08
CHE,1.1531239435165804e-06
CHL,0.000240577010765081
CHN,5.085299194624804e-07
COL,9.90594296923887e-07
CRI,0.000436509566807324
CYP,0.00017273956731671996
CZE,1.618451463734974e-05
DEU,3.373868365033142e-05
DNK,6.422666954915338e-06
ESP,4.753453672075022e-05
EST,6.693433555438328e-05
FIN,1.0965306570197311e-06
FRA,1.7255392082783067e-05
GBR,0.0002776489456547271
GRC,1.4945712443666326e-05
HRV,0.000182527753933947
HUN,0.00021574097742578188
IDN,2.9639477640305883e-05
IND,2.1602212610358278e-05
IRL,9.903787268397465e-10
ISL,1.2571972460042642e-07
ISR,0.00021490912476588772
ITA,4.465820560787231e-06
JPN,3.2927693230679815e-05
KAZ,4.396709032390629e-06
KHM,1.702566094821743e-05
KOR,1.6754161090189452e-05
LAO,2.9780393778919428e-05
LTU,4.66860752792778e-06
LVA,0.00020837390862884564
MAR,6.320711707500835e-05
MEX,5.721824280124811e-05
MLT,2.764675962614899e-05
MMR,2.8461748742704245e-05
NLD,2.1472778145273213e-08
NOR,6.887582502158168e-06
NZL,4.82862059911799e-05
PER,4.874763179385029e-05
PHL,0.0001233062096637516
POL,8.72734264203614e-05
PRT,3.523817943634238e-06
ROU,0.0001500755272007303
ROW,3.475465829266859e-06
RUS,2.1086400854302406e-05
SAU,6.902530325186018e-08
SGP,1.3864434617740486e-11
SVK,1.0356023169156649e-05
SVN,0.0002723277650078995
SWE,0.0003553750625944033
THA,6.449529277797348e-06
TUN,9.260690126130516e-05
TUR,8.783415455168737e-06
TWN,9.208303631192559e-12
USA,1.6942895274890723e-05
VNM,9.436793046187556e-06
ZAF,3.072582820397309e-05
