icio,group,year,total_value,group_total_consumption_share,pc_value,group_size
D01T02,Fourth 20 percent,2004,42811.903,0.22420646862893648,1.8403431629626446,23263
D01T02,Highest 20 percent,2004,55620.468,0.29128508288381305,2.389503286505993,23277
D01T02,Lowest 20 percent,2004,24118.778000000002,0.12631034044492914,1.0385728803341516,23223
D01T02,Second 20 percent,2004,31075.296,0.16274171175616545,1.335652712112095,23266
D01T02,Third 20 percent,2004,37322.117999999995,0.19545639628615585,1.6051143127472904,23252
D03,Fourth 20 percent,2004,3484.11,0.23500000000000001,0.14977045093066244,23263
D03,Highest 20 percent,2004,4507.103999999999,0.30399999999999994,0.19362907591184428,23277
D03,Lowest 20 percent,2004,1660.5119999999997,0.11199999999999997,0.0715029066012143,23223
D03,Second 20 percent,2004,2268.378,0.153,0.097497550073068,23266
D03,Third 20 percent,2004,2905.896,0.196,0.12497402373989334,23252
D10T12,Fourth 20 percent,2004,63178.799,0.23466315200597593,2.7158491596096805,23263
D10T12,Highest 20 percent,2004,82272.254,0.30558140945788254,3.5344870043390473,23277
D10T12,Lowest 20 percent,2004,31033.898,0.1152682931454894,1.3363431942470827,23223
D10T12,Second 20 percent,2004,41118.72,0.15272605042161633,1.7673308690793432,23266
D10T12,Third 20 percent,2004,51628.198,0.19176109496903576,2.2203766557715463,23252
D13T15,Fourth 20 percent,2004,53372.52,0.2267522350195447,2.2943094183897172,23263
D13T15,Highest 20 percent,2004,95543.90999999999,0.4059166615143191,4.104648794947802,23277
D13T15,Lowest 20 percent,2004,20898.267,0.08878592860680357,0.8998952331740085,23223
D13T15,Second 20 percent,2004,27343.946999999996,0.11617028943932146,1.1752749505716495,23266
D13T15,Third 20 percent,2004,38219.499,0.1623748854200112,1.6437080251161191,23252
D19,Fourth 20 percent,2004,50110.60300000001,0.2508251602989244,2.154090315092637,23263
D19,Highest 20 percent,2004,62293.807,0.31180734597037785,2.6761956867293897,23277
D19,Lowest 20 percent,2004,18712.860999999997,0.09366593253680242,0.8057899926796709,23223
D19,Second 20 percent,2004,29262.871,0.14647327850718028,1.2577525573798676,23266
D19,Third 20 percent,2004,39402.858,0.19722828268671508,1.6946008085325994,23252
D20,Fourth 20 percent,2004,4067.46,0.23623623623623624,0.17484675235352276,23263
D20,Highest 20 percent,2004,4843.035,0.28128128128128127,0.2080609614641062,23277
D20,Lowest 20 percent,2004,2016.495,0.11711711711711711,0.0868318046763984,23223
D20,Second 20 percent,2004,2688.66,0.15615615615615616,0.11556176394739104,23266
D20,Third 20 percent,2004,3602.115,0.2092092092092092,0.1549163512816102,23252
D21,Fourth 20 percent,2004,11609.312,0.208,0.49904621072088723,23263
D21,Highest 20 percent,2004,13339.545999999998,0.23899999999999996,0.5730784035743437,23277
D21,Lowest 20 percent,2004,8316.286,0.149,0.35810558498040734,23223
