icio,group,year,total_value,group_total_consumption_share,pc_value,group_size
D21,Second 20 percent,2004,11106.985999999999,0.19899999999999998,0.47739130061033264,23266
D21,Third 20 percent,2004,11441.87,0.20500000000000002,0.4920811113022536,23252
D22,Fourth 20 percent,2004,8287.986,0.24624624624624628,0.3562733095473499,23263
D22,Highest 20 percent,2004,11993.996000000001,0.3563563563563564,0.5152724148300898,23277
D22,Lowest 20 percent,2004,3369.1,0.10010010010010009,0.14507600223915945,23223
D22,Second 20 percent,2004,4447.2119999999995,0.13213213213213212,0.19114639387948076,23266
D22,Third 20 percent,2004,5559.015,0.16516516516516516,0.23907685360399106,23252
D26,Fourth 20 percent,2004,5469.992,0.21543756141653359,0.23513699866741178,23263
D26,Highest 20 percent,2004,9339.98,0.3678584017817933,0.40125359797224724,23277
D26,Lowest 20 percent,2004,2190.054,0.08625604811314624,0.09430538690091719,23223
D26,Second 20 percent,2004,3486.7799999999997,0.1373280583218295,0.14986589873635348,23266
D26,Third 20 percent,2004,4903.344,0.1931199303666973,0.2108783760536728,23252
D27,Fourth 20 percent,2004,23970.925000000003,0.22535150822921965,1.0304313717061429,23263
D27,Highest 20 percent,2004,46596.405,0.43805444073641503,2.001821755380848,23277
D27,Lowest 20 percent,2004,6458.46,0.060716209401100944,0.2781061878310296,23223
D27,Second 20 percent,2004,10934.665,0.10279716989357982,0.4699847416831428,23266
D27,Third 20 percent,2004,18410.809999999998,0.17308067173968456,0.7917946843282297,23252
D29T30,Fourth 20 percent,2004,105880.373,0.26791457723089485,4.551449641060913,23263
D29T30,Highest 20 percent,2004,152601.182,0.38613465368567257,6.555878420758689,23277
D29T30,Lowest 20 percent,2004,22097.285,0.05591390170797371,0.9515258579856177,23223
D29T30,Second 20 percent,2004,49608.91099999999,0.12552799013515079,2.1322492478294506,23266
D29T30,Third 20 percent,2004,65014.235,0.16450887724030822,2.7960706605883363,23252
D31T33,Fourth 20 percent,2004,11151.78,0.23,0.47937841207067017,23263
D31T33,Highest 20 percent,2004,23273.28,0.48,0.9998401855909266,23277
D31T33,Lowest 20 percent,2004,2909.16,0.06,0.1252706368686216,23223
D31T33,Second 20 percent,2004,4315.254,0.089,0.18547468408836928,23266
D31T33,Third 20 percent,2004,6836.526,0.141,0.2940188370892826,23252
D35,Fourth 20 percent,2004,38694.781,0.22372974154607858,1.6633616042642825,23263
D35,Highest 20 percent,2004,50139.968,0.2899047828121485,2.154056278730077,23277
D35,Lowest 20 percent,2004,21266.366,0.12296021442282651,0.9157458554019723,23223
D35,Second 20 percent,2004,28731.801,0.16612468776818667,1.234926545173214,23266
D35,Third 20 percent,2004,34120.312000000005,0.19728057345075978,1.467414071907793,23252
D45T47,Fourth 20 percent,2004,17954.883,0.23700000000000002,0.7718214761638654,23263
D45T47,Highest 20 percent,2004,27273.24,0.36000000000000004,1.171681917772909,23277
D45T47,Lowest 20 percent,2004,6515.274,0.08600000000000001,0.28055264177754813,23223
D45T47,Second 20 percent,2004,10227.465,0.135,0.4395884552565976,23266
D45T47,Third 20 percent,2004,13788.138,0.18200000000000002,0.5929871838981593,23252
D49,Fourth 20 percent,2004,10159.776000000002,0.19800000000000004,0.4367354167562224,23263
D49,Highest 20 percent,2004,26836.175999999996,0.5229999999999999,1.1529052712978476,23277
D49,Lowest 20 percent,2004,2924.784,0.057,0.12594341816302804,23223
D49,Second 20 percent,2004,5079.888000000001,0.09900000000000002,0.21833955127654092,23266
D49,Third 20 percent,2004,6311.376000000001,0.12300000000000003,0.2714336831240324,23252
D53,Fourth 20 percent,2004,4185.28,0.23199999999999998,0.1799114473627649,23263
D53,Highest 20 percent,2004,6566.56,0.36400000000000005,0.282105082270052,23277
D53,Lowest 20 percent,2004,1894.2,0.105,0.08156568918744349,23223
D53,Second 20 percent,2004,2273.04,0.126,0.09769792830740136,23266
D53,Third 20 percent,2004,3120.92,0.17300000000000001,0.13422157233786342,23252
D58T60,Fourth 20 percent,2004,3381.795,0.223,0.14537226497012423,23263
D58T60,Highest 20 percent,2004,5975.01,0.394,0.2566915839670061,23277
D58T60,Lowest 20 percent,2004,1289.025,0.085,0.05550639452267149,23223
D58T60,Second 20 percent,2004,1910.79,0.126,0.08212799793690363,23266
D58T60,Third 20 percent,2004,2608.38,0.17200000000000001,0.11217873731291933,23252
D61,Fourth 20 percent,2004,27519.415999999997,0.2392392392392392,1.1829693504707044,23263
D61,Highest 20 percent,2004,33967.48,0.2952952952952953,1.4592722429866394,23277
D61,Lowest 20 percent,2004,13011.272000000003,0.11311311311311313,0.5602752443698059,23223
D61,Second 20 percent,2004,18307.896,0.15915915915915915,0.7868948680477951,23266
D61,Third 20 percent,2004,22222.792,0.1931931931931932,0.9557367968346809,23252
D64T66,Fourth 20 percent,2004,273247.063,0.2596239299779257,11.745994196793191,23263
D64T66,Highest 20 percent,2004,506755.412,0.48149037781614834,21.770649654165055,23277
D64T66,Lowest 20 percent,2004,31655.327999999998,0.030077105202408964,1.36310244154502,23223
D64T66,Second 20 percent,2004,81283.528,0.07723101851539668,3.4936614802716415,23266
D64T66,Third 20 percent,2004,159531.232,0.15157756848812026,6.8609681747806635,23252
D68,Fourth 20 percent,2004,92964.218,0.19666725478000752,3.99622653999914,23263
D68,Highest 20 percent,2004,132128.34,0.2795195664039196,5.676347467457147,23277
D68,Lowest 20 percent,2004,71277.86,0.1507894258067519,3.069278732291263,23223
D68,Second 20 percent,2004,86582.87,0.18316741344367862,3.7214334221610934,23266
D68,Third 20 percent,2004,89744.712,0.18985633956564232,3.859655599518321,23252
D77T82,Fourth 20 percent,2004,11589.317999999997,0.23399999999999996,0.4981867342991015,23263
D77T82,Highest 20 percent,2004,23772.96,0.48,1.0213068694419383,23277
D77T82,Lowest 20 percent,2004,2575.4040000000005,0.05200000000000001,0.11089885027774192,23223
D77T82,Second 20 percent,2004,4457.43,0.09000000000000001,0.19158557551792316,23266
D77T82,Third 20 percent,2004,7131.888000000001,0.14400000000000002,0.3067214863237571,23252
D85,Fourth 20 percent,2004,18842.255999999998,0.17899999999999996,0.8099667282809611,23263
D85,Highest 20 percent,2004,54947.808000000005,0.522,2.3606052326330715,23277
D85,Lowest 20 percent,2004,14947.487999999998,0.142,0.6436501743960727,23223
D85,Second 20 percent,2004,7263.216000000001,0.069,0.31218155248001384,23266
D85,Third 20 percent,2004,9263.232,0.088,0.39838431102700844,23252
D86T88,Fourth 20 percent,2004,69244.341,0.23257271976139615,2.9765868976486267,23263
D86T88,Highest 20 percent,2004,96116.955,0.3228304481883036,4.129267302487434,23277
D86T88,Lowest 20 percent,2004,29801.978999999996,0.10009666075531012,1.2832958274124788,23223
D86T88,Second 20 percent,2004,46125.873,0.15492413647172626,1.9825441846471246,23266
D86T88,Third 20 percent,2004,56442.852,0.18957603482326388,2.42744073628075,23252
D90T93,Fourth 20 percent,2004,41164.842,0.2476150724261077,1.76954141770193,23263
D90T93,Highest 20 percent,2004,74313.644,0.447011999737737,3.1925782532113245,23277
D90T93,Lowest 20 percent,2004,8753,0.052651112542730534,0.376910821168669,23223
D90T93,Second 20 percent,2004,18867.504,0.11349195435901047,0.8109474770050719,23266
D90T93,Third 20 percent,2004,23146.31,0.13922986093441442,0.9954545845518665,23252
D94T98,Fourth 20 percent,2004,93866.596,0.20973856405707358,4.035016807806388,23263
D94T98,Highest 20 percent,2004,196268.502,0.4385487013837476,8.431864157752289,23277
D94T98,Lowest 20 percent,2004,30396.823,0.06791964638748621,1.3089102613788055,23223
D94T98,Second 20 percent,2004,55353.568999999996,0.12368380842844393,2.379161394309292,23266
D94T98,Third 20 percent,2004,71655.459,0.1601092797432487,3.081690134182006,23252
D01T02,Fourth 20 percent,2005,43072.654,0.2404644618467014,1.8331129080308126,23497
D01T02,Highest 20 percent,2005,53810.917,0.3004136498735953,2.2904110411168808,23494
D01T02,Lowest 20 percent,2005,22124.319,0.12351485148929411,0.9438299987201911,23441
D01T02,Second 20 percent,2005,27807.595,0.15524324010603163,1.184461174766793,23477
D01T02,Third 20 percent,2005,32307.257999999998,0.18036379668437746,1.3778257420675537,23448
D03,Fourth 20 percent,2005,2951.712,0.222,0.12562080265565817,23497
D03,Highest 20 percent,2005,4653.6,0.35000000000000003,0.19807610453732868,23494
D03,Lowest 20 percent,2005,1369.4880000000003,0.10300000000000002,0.05842276353397894,23441
D03,Second 20 percent,2005,1981.104,0.149,0.08438488733654215,23477
D03,Third 20 percent,2005,2340.096,0.176,0.09979938587512795,23448
D10T12,Fourth 20 percent,2005,67017.709,0.23815120305364773,2.852181512533515,23497
D10T12,Highest 20 percent,2005,84453.768,0.3001112206269787,3.594695156210096,23494
D10T12,Lowest 20 percent,2005,33055.174999999996,0.11746342587447833,1.41014355189625,23441
D10T12,Second 20 percent,2005,43437.7,0.1543583131569513,1.8502236231205007,23477
D10T12,Third 20 percent,2005,53443.88,0.18991583728794403,2.2792511088365743,23448
D13T15,Fourth 20 percent,2005,55606.773,0.22859363386720163,2.3665477720560073,23497
D13T15,Highest 20 percent,2005,96094.412,0.3950340875456309,4.090168213160807,23494
D13T15,Lowest 20 percent,2005,21574.844999999998,0.08869193360081559,0.9203892752015698,23441
D13T15,Second 20 percent,2005,30583.547,0.12572576627092447,1.3027025173574136,23477
D13T15,Third 20 percent,2005,39396.422999999995,0.16195457871542734,1.6801613357215965,23448
D19,Fourth 20 percent,2005,62707.435,0.24819517305751182,2.668742179852747,23497
D19,Highest 20 percent,2005,79697.245,0.31544060947448926,3.3922382310377115,23494
D19,Lowest 20 percent,2005,22383.575,0.08859388477252811,0.9548899364361589,23441
D19,Second 20 percent,2005,37976.015,0.15030854977499344,1.6175838054265876,23477
D19,Third 20 percent,2005,49889.454999999994,0.19746178292047742,2.1276635533947457,23448
D20,Fourth 20 percent,2005,3868.1040000000003,0.24600000000000002,0.16462118568327871,23497
D20,Highest 20 percent,2005,4386.996,0.279,0.18672835617604494,23494
D20,Lowest 20 percent,2005,1855.432,0.11800000000000001,0.0791532784437524,23441
D20,Second 20 percent,2005,2452.944,0.156,0.10448285556076159,23477
D20,Third 20 percent,2005,3160.5240000000003,0.201,0.13478863868986696,23448
D21,Fourth 20 percent,2005,12719.2,0.2082082082082082,0.541311656807252,23497
D21,Highest 20 percent,2005,15226.35,0.24924924924924924,0.6480952583638376,23494
D21,Lowest 20 percent,2005,8194.1,0.13413413413413414,0.34956273196535986,23441
D21,Second 20 percent,2005,12780.35,0.20920920920920918,0.5443774758274056,23477
D21,Third 20 percent,2005,12168.85,0.19919919919919918,0.5189717673149096,23448
D22,Fourth 20 percent,2005,9176.965,0.24475524475524474,0.39055900753287653,23497
D22,Highest 20 percent,2005,13784.176,0.3676323676323676,0.5867104792713033,23494
D22,Lowest 20 percent,2005,3558.415,0.0949050949050949,0.15180303741307966,23441
D22,Second 20 percent,2005,4569.754,0.12187812187812187,0.1946481236955318,23477
D22,Third 20 percent,2005,6405.147000000001,0.17082917082917085,0.2731638945752303,23448
D26,Fourth 20 percent,2005,6237.389999999999,0.25237942868463065,0.26545473890283866,23497
D26,Highest 20 percent,2005,9128.153999999999,0.3693465201735543,0.38853128458329783,23494
D26,Lowest 20 percent,2005,2260.0679999999998,0.09144765208338998,0.0964151700012798,23441
D26,Second 20 percent,2005,3346.746,0.1354171926771571,0.1425542445798015,23477
D26,Third 20 percent,2005,3741.978,0.15140920638126795,0.1595862333674514,23448
D27,Fourth 20 percent,2005,25588.716,0.2171073938831186,1.089020555815636,23497
D27,Highest 20 percent,2005,53143.2,0.4508933412137345,2.2619902953945688,23494
D27,Lowest 20 percent,2005,7222.986,0.06128340579942546,0.3081347212149652,23441
D27,Second 20 percent,2005,13384.364000000001,0.11355960130328668,0.5701053797333561,23477
D27,Third 20 percent,2005,18522.754,0.15715625780043477,0.7899502729443876,23448
D29T30,Fourth 20 percent,2005,108450.738,0.26075301698564607,4.615514235859897,23497
D29T30,Highest 20 percent,2005,166918.556,0.4013298375884498,7.104731250532051,23494
D29T30,Lowest 20 percent,2005,20576.632,0.04947332745124694,0.8778052130881789,23441
D29T30,Second 20 percent,2005,49628.424000000006,0.11932386560839123,2.1139167696042938,23477
D29T30,Third 20 percent,2005,70339.29599999999,0.16911995236626592,2.9997993858751273,23448
D31T33,Fourth 20 percent,2005,10916.145,0.1991991991991992,0.46457611609992766,23497
D31T33,Highest 20 percent,2005,26659.53,0.4864864864864865,1.1347378053971227,23494
D31T33,Lowest 20 percent,2005,3949.56,0.07207207207207207,0.16848939891642847,23441
D31T33,Second 20 percent,2005,4882.095,0.0890890890890891,0.20795225113941304,23477
D31T33,Third 20 percent,2005,8392.815,0.15315315315315317,0.35793308597748213,23448
D35,Fourth 20 percent,2005,41987.538,0.21964539945221545,1.7869318636421672,23497
D35,Highest 20 percent,2005,55534.05100000001,0.2905099797729199,2.363754618200392,23494
D35,Lowest 20 percent,2005,24232.468,0.12676499664193286,1.0337642592039589,23441
D35,Second 20 percent,2005,32727.792999999998,0.17120577935944756,1.3940364186224814,23477
D35,Third 20 percent,2005,36678.712,0.19187384477348418,1.5642575912657797,23448
D45T47,Fourth 20 percent,2005,20403.761,0.25951903807615223,0.8683560028939864,23497
D45T47,Highest 20 percent,2005,27099.976000000002,0.34468937875751504,1.1534849748872054,23494
D45T47,Lowest 20 percent,2005,6538.657000000001,0.08316633266533066,0.27894104347084175,23441
D45T47,Second 20 percent,2005,10950.281,0.13927855711422846,0.46642590620607405,23477
D45T47,Third 20 percent,2005,13628.767,0.17334669338677353,0.5812336659843057,23448
D49,Fourth 20 percent,2005,10512,0.2,0.44737626079925097,23497
D49,Highest 20 percent,2005,26910.72,0.512,1.1454294713543884,23494
D49,Lowest 20 percent,2005,3206.16,0.061,0.13677573482359967,23441
D49,Second 20 percent,2005,5045.76,0.096,0.21492354219022874,23477
D49,Third 20 percent,2005,6885.36,0.131,0.2936438075742067,23448
D53,Fourth 20 percent,2005,4577.088,0.24775224775224777,0.19479456951951313,23497
D53,Highest 20 percent,2005,6496.512000000001,0.35164835164835173,0.27651791946880055,23494
D53,Lowest 20 percent,2005,1642.5839999999998,0.08891108891108891,0.07007311974745103,23441
D53,Second 20 percent,2005,2454.648,0.1328671328671329,0.10455543723644418,23477
D53,Third 20 percent,2005,3303.624,0.17882117882117882,0.14089150460593652,23448
D58T60,Fourth 20 percent,2005,27748.430999999997,0.23312719803069892,1.1809350555390048,23497
D58T60,Highest 20 percent,2005,41538.62899999999,0.34898492778949314,1.7680526517408697,23494
D58T60,Lowest 20 percent,2005,11948.12,0.10038159409209677,0.509710336589736,23441
D58T60,Second 20 percent,2005,16574.734,0.1392518840263134,0.7059988073433573,23477
D58T60,Third 20 percent,2005,21217.086,0.17825439606139784,0.9048569600818833,23448
D61,Fourth 20 percent,2005,28769.363999999998,0.23399999999999999,1.2243845597310294,23497
D61,Highest 20 percent,2005,36023.178,0.293,1.533292670469056,23494
D61,Lowest 20 percent,2005,14015.844000000001,0.114,0.597920054605179,23441
D61,Second 20 percent,2005,19917.252,0.162,0.8483729607701155,23477
D61,Third 20 percent,2005,24220.361999999997,0.19699999999999998,1.0329393551688841,23448
D64T66,Fourth 20 percent,2005,288155.152,0.25232835471347004,12.263486913222964,23497
D64T66,Highest 20 percent,2005,561864.9569999999,0.4920073758423191,23.91525312845833,23494
D64T66,Lowest 20 percent,2005,35573.856999999996,0.031150901676823942,1.5175912717034254,23441
D64T66,Second 20 percent,2005,83891.05,0.07346073972567893,3.5733292158282577,23477
D64T66,Third 20 percent,2005,172499.809,0.15105262804170802,7.356696050835892,23448
D68,Fourth 20 percent,2005,100833.408,0.19566423144696912,4.291331148657275,23497
D68,Highest 20 percent,2005,140288.05299999999,0.27222479747423267,5.971228952072869,23494
D68,Lowest 20 percent,2005,81068.192,0.15731041722278524,3.4583930719679192,23441
D68,Second 20 percent,2005,93704.98800000001,0.1818317442941874,3.9913527282020707,23477
D68,Third 20 percent,2005,99444.35199999998,0.19296880956182563,4.241059024223814,23448
D77T82,Fourth 20 percent,2005,11975.323,0.223,0.5096532748861556,23497
D77T82,Highest 20 percent,2005,24863.563,0.46299999999999997,1.0582941602111176,23494
D77T82,Lowest 20 percent,2005,3060.9570000000003,0.05700000000000001,0.1305813318544431,23441
D77T82,Second 20 percent,2005,5262.698,0.098,0.22416399028836737,23477
D77T82,Third 20 percent,2005,8538.459,0.159,0.3641444472876152,23448
D85,Fourth 20 percent,2005,21403.05,0.194,0.9108843682172192,23497
D85,Highest 20 percent,2005,58803.225,0.533,2.5029039329190432,23494
D85,Lowest 20 percent,2005,12466.725,0.113,0.5318341794292053,23441
D85,Second 20 percent,2005,7391.775,0.06699999999999999,0.3148517698172679,23477
D85,Third 20 percent,2005,10260.225,0.093,0.4375735670419652,23448
D86T88,Fourth 20 percent,2005,69520.254,0.22991415122284134,2.9586863854960206,23497
D86T88,Highest 20 percent,2005,97167.829,0.32134892560520834,4.135857197582362,23494
D86T88,Lowest 20 percent,2005,30304.533000000003,0.10022174232705747,1.2928003498144278,23441
D86T88,Second 20 percent,2005,48275.046,0.15965298726229657,2.0562697959705245,23477
D86T88,Third 20 percent,2005,57107.175,0.18886219358259632,2.43548170419652,23448
D90T93,Fourth 20 percent,2005,43443.102999999996,0.2468330075794593,1.8488787079201598,23497
D90T93,Highest 20 percent,2005,81903.011,0.46535272894626195,3.4861245850004257,23494
D90T93,Lowest 20 percent,2005,10144.453000000001,0.05763828251951683,0.4327653683716566,23441
D90T93,Second 20 percent,2005,16728.194,0.09504547675594595,0.7125354176427993,23477
D90T93,Third 20 percent,2005,23783.239,0.13513050419881592,1.0142971255544184,23448
D94T98,Fourth 20 percent,2005,113043.273,0.22029928381420094,4.810966208452143,23497
D94T98,Highest 20 percent,2005,226187.091,0.44079451021660965,9.627440665701881,23494
D94T98,Lowest 20 percent,2005,35870.471,0.0699045494850283,1.5302449127596944,23441
D94T98,Second 20 percent,2005,60451.862,0.11780888460151812,2.5749398134344252,23477
D94T98,Third 20 percent,2005,77582.303,0.15119277188264296,3.308695965540771,23448
D01T02,Fourth 20 percent,2006,42215.752,0.2259049335447578,1.7760097602019351,23770
D01T02,Highest 20 percent,2006,55699.149000000005,0.2980572880318362,2.3406937720625316,23796
D01T02,Lowest 20 percent,2006,23967.895999999997,0.1282570058940953,1.0096847249136405,23738
D01T02,Second 20 percent,2006,29657.031,0.15870070530047223,1.2475089807765112,23773
D01T02,Third 20 percent,2006,35334.143000000004,0.1890800672288384,1.4868143488323167,23765
D03,Fourth 20 percent,2006,3045.785,0.21121121121121122,0.12813567522086663,23770
D03,Highest 20 percent,2006,4850.16,0.33633633633633636,0.20382249117498738,23796
D03,Lowest 20 percent,2006,1948.725,0.13513513513513514,0.08209305754486478,23738
D03,Second 20 percent,2006,2064.205,0.14314314314314316,0.08682980692382114,23773
D03,Third 20 percent,2006,2511.6899999999996,0.17417417417417416,0.10568861771512728,23765
D10T12,Fourth 20 percent,2006,68903.533,0.22816862341142305,2.89876032814472,23770
D10T12,Highest 20 percent,2006,92276.082,0.30556497884861133,3.8777980332829043,23796
D10T12,Lowest 20 percent,2006,36234.704,0.11998836883154286,1.5264430027803522,23738
D10T12,Second 20 percent,2006,46239.983,0.15312006232942518,1.9450630126614226,23773
D10T12,Third 20 percent,2006,58330.835,0.19315796657899756,2.4544849568693454,23765
D13T15,Fourth 20 percent,2006,55322.62599999999,0.22478437428465625,2.327413798906184,23770
D13T15,Highest 20 percent,2006,93720.46299999999,0.3808007167469469,3.9384965120188262,23796
D13T15,Lowest 20 percent,2006,21940.064,0.08914586878080069,0.9242591625242227,23738
D13T15,Second 20 percent,2006,30825.258999999995,0.1252477884270618,1.2966499390064357,23773
D13T15,Third 20 percent,2006,44305.786,0.18002125176053438,1.8643293078055965,23765
D19,Fourth 20 percent,2006,70911.942,0.25226445616910204,2.9832537652503155,23770
D19,Highest 20 percent,2006,88683.378,0.3154851424377703,3.726818709026727,23796
D19,Lowest 20 percent,2006,25626.339,0.09116397448881107,1.07954920380824,23738
D19,Second 20 percent,2006,41125.233,0.1463002456987091,1.729913473267993,23773
D19,Third 20 percent,2006,54754.707,0.19478618120560745,2.3040061855670104,23765
D20,Fourth 20 percent,2006,4610.837,0.25674325674325676,0.1939771560790913,23770
D20,Highest 20 percent,2006,5131.126,0.28571428571428575,0.21562976970919484,23796
D20,Lowest 20 percent,2006,2242.625,0.12487512487512488,0.0944740500463392,23738
D20,Second 20 percent,2006,2691.15,0.14985014985014986,0.11320195179405208,23773
D20,Third 20 percent,2006,3283.203,0.18281718281718282,0.13815287187039765,23765
D21,Fourth 20 percent,2006,13851.993999999999,0.2272272272272272,0.582751114850652,23770
D21,Highest 20 percent,2006,15621.632000000001,0.2562562562562563,0.6564814254496555,23796
D21,Lowest 20 percent,2006,7627.75,0.12512512512512514,0.32133077765607887,23738
D21,Second 20 percent,2006,12326.444,0.2022022022022022,0.5185060362596222,23773
D21,Third 20 percent,2006,11533.157999999998,0.18918918918918917,0.4853001472754049,23765
D22,Fourth 20 percent,2006,9235.388,0.23600000000000002,0.3885312578880943,23770
D22,Highest 20 percent,2006,13970.481000000002,0.35700000000000004,0.5870936712052447,23796
D22,Lowest 20 percent,2006,3835.034,0.098,0.16155674446035892,23738
D22,Second 20 percent,2006,5282.955,0.135,0.22222500315483953,23773
D22,Third 20 percent,2006,6809.142,0.174,0.28651975594361456,23765
D26,Fourth 20 percent,2006,5973.999,0.22267776203966005,0.25132515776188474,23770
D26,Highest 20 percent,2006,10151.396,0.3783881019830029,0.42660094133467813,23796
D26,Lowest 20 percent,2006,2345.322,0.08742067988668556,0.09880032016176594,23738
D26,Second 20 percent,2006,3541.733,0.13201628895184137,0.14898132335001893,23773
D26,Third 20 percent,2006,4815.549999999999,0.17949716713881017,0.20263202188091728,23765
D27,Fourth 20 percent,2006,26392.408,0.23776944144144144,1.1103242742953303,23770
D27,Highest 20 percent,2006,46308.936,0.41719762162162166,1.9460806858295512,23796
D27,Lowest 20 percent,2006,7888.312,0.07106587387387388,0.3323073552953071,23738
D27,Second 20 percent,2006,12109.968,0.10909881081081081,0.5094000757161486,23773
D27,Third 20 percent,2006,18300.376,0.16486825225225227,0.7700557963391542,23765
D29T30,Fourth 20 percent,2006,89712.834,0.2206551937838287,3.774204206983593,23770
D29T30,Highest 20 percent,2006,177045.644,0.43545654666758993,7.440143049251975,23796
D29T30,Lowest 20 percent,2006,23381.886,0.0575094371264806,0.9849981464318813,23738
D29T30,Second 20 percent,2006,46536.183000000005,0.11445910267225218,1.9575225255542004,23773
D29T30,Third 20 percent,2006,69898.22,0.17191971974984863,2.9412253313696612,23765
D31T33,Fourth 20 percent,2006,12111.44,0.22022022022022023,0.5095262936474548,23770
D31T33,Highest 20 percent,2006,25929.492000000002,0.47147147147147145,1.0896575895108422,23796
D31T33,Lowest 20 percent,2006,3193.0159999999996,0.05805805805805805,0.1345107422697784,23738
D31T33,Second 20 percent,2006,5284.991999999999,0.09609609609609608,0.2223106885963067,23773
D31T33,Third 20 percent,2006,8478.008,0.15415415415415415,0.3567434462444772,23765
D35,Fourth 20 percent,2006,47061.64,0.22330599409080618,1.979875473285654,23770
D35,Highest 20 percent,2006,59899.86,0.28422294214991484,2.5172239031770047,23796
D35,Lowest 20 percent,2006,27263.72,0.12936548954123558,1.1485264133456905,23738
D35,Second 20 percent,2006,35822.06,0.1699745422956043,1.506838009506583,23773
D35,Third 20 percent,2006,40702.28,0.19313103192243913,1.7126985062066062,23765
D45T47,Fourth 20 percent,2006,20369.445,0.249,0.8569392090870845,23770
D45T47,Highest 20 percent,2006,28795.36,0.352,1.2100924525130274,23796
D45T47,Lowest 20 percent,2006,7035.23,0.086,0.2963699553458589,23738
D45T47,Second 20 percent,2006,10634.65,0.13,0.44734152189458626,23773
D45T47,Third 20 percent,2006,14970.315,0.183,0.629931201346518,23765
D49,Fourth 20 percent,2006,13013.273000000001,0.21721721721721723,0.547466259991586,23770
D49,Highest 20 percent,2006,29204.903000000002,0.4874874874874875,1.2273030341233822,23796
D49,Lowest 20 percent,2006,4317.768,0.07207207207207207,0.18189266155531217,23738
D49,Second 20 percent,2006,4977.427000000001,0.08308308308308308,0.2093731123543516,23773
D49,Third 20 percent,2006,8395.66,0.14014014014014012,0.3532783505154639,23765
D53,Fourth 20 percent,2006,4663.888,0.248,0.19620900294488852,23770
D53,Highest 20 percent,2006,6958.22,0.37,0.2924113296352328,23796
D53,Lowest 20 percent,2006,1786.57,0.095,0.075262027129497,23738
D53,Second 20 percent,2006,2388.3619999999996,0.12699999999999997,0.10046531779750136,23773
D53,Third 20 percent,2006,3008.96,0.16,0.12661308647170208,23765
D58T60,Fourth 20 percent,2006,27866.762,0.2289966842900104,1.1723501051745897,23770
D58T60,Highest 20 percent,2006,41376.994999999995,0.34001778394218674,1.7388214405782483,23796
D58T60,Lowest 20 percent,2006,12529.847,0.10296472254871715,0.527839202965709,23738
D58T60,Second 20 percent,2006,16799.156,0.13804800941245468,0.7066485508770454,23773
